name,id,price,brand,category,position
Cimento Branco Saco com 1kg MASCOTE / REF. 000000000000539,49601,4.9,MASCOTE,MATERIAIS DE CAMPO > CIMENTO,1
Cimento Forte Multiuso CPII 50kg CIMENTO FORTE / REF. 51150028,998587,37.9,CIMENTO FORTE,MATERIAIS DE CAMPO > CIMENTO,2
Piso Cerâmico Cimento cinza cimento 60x60  HD Tipo A POINTER / REF. 40260E,914981,36.9,POINTER,PISOS > PISOS CERÂMICOS,3
Piso Cerâmico Cimento Branco Cimento 60x60 HD Tipo A POINTER / REF. 40259E,899402,36.9,POINTER,PISOS > PISOS CERÂMICOS,4
"Espelheira Ori 78x44,1cm Cimento MGM / REF. 19190.40",983676,393.9,MGM,MÓVEIS PARA BANHEIRO > ESPELHEIRAS PARA BANHEIRO,5
Argamassa Cimento Queimado 5kg Mineral PORTOKOLL / REF. 655560,953535,134.9,PORTOKOLL,ARGAMASSAS E REJUNTES > ARGAMASSAS,6
Argamassa Cimento Queimado 5kg Fendi PORTOKOLL / REF. 655558,953536,129.9,PORTOKOLL,ARGAMASSAS E REJUNTES > ARGAMASSAS,7
"Espelheira MDF 48X80,5 Monet Cimento MGM / REF. 22470.40",991703,504.9,MGM,MÓVEIS PARA BANHEIRO > ESPELHEIRAS PARA BANHEIRO,8
Espelheira MDF 60x60 Lua Cimento MGM / REF. 22469.40,991707,483.9,MGM,MÓVEIS PARA BANHEIRO > ESPELHEIRAS PARA BANHEIRO,9
"Texturizador Acrilico LT4,4KG Decoratto Marmore Cimento Queimado - Ref. 279329601 - IQUINE",918742,86.9,IQUINE,COMPLEMENTOS > TEXTURAS,10
Porcelanato Balance Cimento Ivory 76x76 Tipo A PAMESA / REF. 180565150986,941941,86.9,PAMESA,PORCELANATOS > PORCELANATOS ACETINADOS,11
Cera Liquida para Cimento Queimado 500ml Incolor PORTOKOLL / REF. 655128,953531,59.9,PORTOKOLL,ARGAMASSAS E REJUNTES > ARGAMASSAS,12
Porcelanato Balance Cimento Tipo A Ivory 58x58 PAMESA / REF.: 180455150986,980160,56.9,PAMESA,PORCELANATOS > PORCELANATOS ACETINADOS,13
Porcelanato Balance Cimento Ivory AS 76x76 Tipo A PAMESA / REF. 180565150988,941943,89.9,PAMESA,PORCELANATOS > PORCELANATOS ACETINADOS,14
Porcelanato 58x58 Balance Cimento Grey Acetinado Retificado Tipo A - Ref.180450490986 - PAMESA,973607,56.9,PAMESA,PORCELANATOS > PORCELANATOS ACETINADOS,15
"Papel de Parede Vinílico Cimento Queimado Rústico Bege 9,5m BOBINEX / REF. PP217",980552,99.9,BOBINEX,QUARTO E SALA > PAPÉIS PAREDE,16
"Tinta Acrílica 4,8Kg Decora Efeito Cimento Queimado Tubarão Branco CORAL / REF. 5825425",992176,189.9,CORAL,TINTAS ACRÍLICAS > ACRÍLICAS PREMIUM,17
Porcelanato 76x76 Balance Cimento Ivory Polido Retificado Tipo A - Ref. 40565151062 - PAMESA,971844,99.9,PAMESA,PORCELANATOS > PORCELATOS POLIDOS,18
